label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered,bytes_acked
wi-fi,37.65.43.81,66523,531553,346,38070,1973,0,0,3,1977,51701112,819228,1186155872
wi-fi,37.65.43.81,64927,518212,536,38070,1967,0,0,0,1986,53273542,822307,1190618000
wi-fi,37.65.43.81,61537,489934,1369,38070,1980,0,0,0,1994,56575365,825421,1195126464
wi-fi,37.65.43.81,67829,540556,877,38070,1991,0,0,0,2003,51508636,828306,1199303336
wi-fi,37.65.43.81,68154,546041,849,38070,1997,0,0,2,2011,51194889,831421,1203810352
wi-fi,37.65.43.81,65409,526695,1063,38070,1926,0,0,0,2019,53286465,834373,1208087136
wi-fi,37.65.43.81,66931,533432,1256,38070,2021,0,0,0,2026,52795896,837289,1212308896
wi-fi,37.65.43.81,67612,540413,336,38070,2017,0,0,1,2034,52319665,840320,1216695728
wi-fi,37.65.43.81,67393,537943,516,38070,2016,0,0,1,2041,52740778,843462,1221244736
wi-fi,37.65.43.81,66255,526960,1410,38070,2022,0,0,0,2048,54024666,846351,1225428240
wi-fi,37.65.43.81,66767,531993,1066,38070,2054,0,0,1,2055,53696465,849471,1229943944
wi-fi,37.65.43.81,69601,554595,1137,38070,1876,0,0,2,2062,51683570,852462,1234272856
wi-fi,37.65.43.81,67917,543364,602,38070,2045,0,0,1,2068,52905334,855518,1238698784
wi-fi,37.65.43.81,69517,557757,996,38070,2051,0,0,0,2075,51714563,858622,1243194216
wi-fi,37.65.43.81,62683,506375,712,38070,2062,0,0,0,2080,57099311,861552,1247436248
wi-fi,37.65.43.81,57611,460878,425,38070,2069,0,0,3,2086,62917016,864264,1251358272
wi-fi,37.65.43.81,68186,544277,500,38070,2084,0,0,1,2092,53429547,867886,1256605216
