label,connection_id,srtt,rtt,mdev,mdev_max,rttvar,min_rtt,inflight,lost,recv_rtt,retrans_out,total_lost,sack_out,total_retrans,rcv_buf,snd_buf,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
fibre,160.217.166.30;43160;5201,2446,18929,401,200000,200003,556,196,0,0,0,1728,0,1728,131072,2854912,227,161865666,18446744073709551615,1276699
fibre,160.217.166.30;43160;5201,2763,21855,432,200000,200003,556,242,0,0,0,1728,0,1728,131072,2854912,247,152546657,18446744073709551615,1284795
fibre,160.217.166.30;43160;5201,2960,23190,359,200000,200003,556,242,0,0,0,1728,0,1728,131072,2854912,266,154823699,18446744073709551615,1292891
fibre,160.217.166.30;43160;5201,2192,16848,377,200000,200003,556,196,0,0,0,1776,0,1776,131072,2854912,201,161029059,18446744073709551615,1301723
fibre,160.217.166.30;43160;5201,2161,19031,341,200000,200003,556,213,0,0,0,1776,0,1776,131072,2854912,221,156742661,18446744073709551615,1309756
fibre,160.217.166.30;43160;5201,2736,21167,419,200000,200003,556,196,0,0,0,1776,0,1776,131072,2854912,239,152403571,18446744073709551615,1318605
fibre,160.217.166.30;43160;5201,2761,22714,497,200000,200003,556,241,0,0,0,1776,0,1776,131072,2854912,259,153908532,18446744073709551615,1326702
fibre,160.217.166.30;43160;5201,2161,16860,188,200000,200003,556,150,0,0,0,1823,0,1823,131072,2854912,190,152108185,18446744073709551615,1334797
fibre,160.217.166.30;43160;5201,2262,17078,488,200000,200003,556,196,0,0,0,1823,0,1823,131072,2854912,215,169925283,18446744073709551615,1343629
fibre,160.217.166.30;43160;5201,2210,18631,349,200000,200003,556,214,0,0,0,1823,0,1823,131072,2854912,229,165903622,18446744073709551615,1351753
fibre,160.217.166.30;43160;5201,2718,21793,388,200000,200003,556,243,0,0,0,1823,0,1823,131072,2854912,249,154219354,18446744073709551615,1359866
fibre,160.217.166.30;43160;5201,3001,23232,370,200000,200003,556,241,0,0,0,1823,0,1823,131072,2854912,268,155705785,18446744073709551615,1368700
fibre,160.217.166.30;43160;5201,2280,17391,467,200000,200003,556,195,0,0,0,1829,0,1829,131072,2854912,197,152896739,18446744073709551615,1376842
fibre,160.217.166.30;43160;5201,2429,18928,388,200000,200003,556,196,0,0,0,1829,0,1829,131072,2854912,223,159021808,18446744073709551615,1385029
fibre,160.217.166.30;43160;5201,2543,21080,504,200000,200003,556,214,0,0,0,1829,0,1829,131072,2854912,242,154953472,18446744073709551615,1393935
fibre,160.217.166.30;43160;5201,1828,15565,354,200000,200003,556,149,0,0,0,1880,0,1880,131072,2854912,183,158693273,18446744073709551615,1402096
